state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000024,LEGAL,,ILLEGAL,transition_break,0,,178.16,stop,32538,23593,23577,artifacts/kimi_n50_findv_traces/test_000024.content.txt,artifacts/kimi_n50_findv_traces/test_000024.reasoning.txt
test_000025,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,168.16,stop,32538,28672,28659,artifacts/kimi_n50_findv_traces/test_000025.content.txt,artifacts/kimi_n50_findv_traces/test_000025.reasoning.txt
test_000026,LEGAL,,EMPTY_RESPONSE,,0,,259.5,length,31326,32768,32771,,artifacts/kimi_n50_findv_traces/test_000026.reasoning.txt
test_000027,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,249.38,stop,31363,30948,30931,artifacts/kimi_n50_findv_traces/test_000027.content.txt,artifacts/kimi_n50_findv_traces/test_000027.reasoning.txt
test_000028,LEGAL,,ILLEGAL,transition_break,0,,110.86,stop,38149,10671,10655,artifacts/kimi_n50_findv_traces/test_000028.content.txt,artifacts/kimi_n50_findv_traces/test_000028.reasoning.txt
test_000029,ILLEGAL,transition_break,EMPTY_RESPONSE,,0,0,358.67,length,38149,32768,32769,,artifacts/kimi_n50_findv_traces/test_000029.reasoning.txt
test_000030,LEGAL,,EMPTY_RESPONSE,,0,,272.52,length,31404,32768,32768,,artifacts/kimi_n50_findv_traces/test_000030.reasoning.txt
test_000031,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,272.17,length,31438,32768,32768,,artifacts/kimi_n50_findv_traces/test_000031.reasoning.txt
test_000032,LEGAL,,EMPTY_RESPONSE,,0,,233.28,length,33017,32768,32769,,artifacts/kimi_n50_findv_traces/test_000032.reasoning.txt
test_000033,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,10.55,stop,33017,766,750,artifacts/kimi_n50_findv_traces/test_000033.content.txt,artifacts/kimi_n50_findv_traces/test_000033.reasoning.txt
test_000034,LEGAL,,EMPTY_RESPONSE,,0,,274.2,length,33603,32768,32771,,artifacts/kimi_n50_findv_traces/test_000034.reasoning.txt
test_000035,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,13.35,stop,33604,928,912,artifacts/kimi_n50_findv_traces/test_000035.content.txt,artifacts/kimi_n50_findv_traces/test_000035.reasoning.txt
test_000036,LEGAL,,EMPTY_RESPONSE,,0,,349.95,length,32893,32768,32770,,artifacts/kimi_n50_findv_traces/test_000036.reasoning.txt
test_000037,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,343.29,length,32930,32768,32770,,artifacts/kimi_n50_findv_traces/test_000037.reasoning.txt
test_000038,LEGAL,,ILLEGAL,transition_break,0,,134.09,stop,31790,14973,14957,artifacts/kimi_n50_findv_traces/test_000038.content.txt,artifacts/kimi_n50_findv_traces/test_000038.reasoning.txt
test_000039,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,265.31,length,31820,32768,32770,,artifacts/kimi_n50_findv_traces/test_000039.reasoning.txt
test_000040,LEGAL,,ILLEGAL,derivation_break,0,,304.85,stop,31985,25240,25223,artifacts/kimi_n50_findv_traces/test_000040.content.txt,artifacts/kimi_n50_findv_traces/test_000040.reasoning.txt
test_000041,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,28.22,stop,31985,2915,2902,artifacts/kimi_n50_findv_traces/test_000041.content.txt,artifacts/kimi_n50_findv_traces/test_000041.reasoning.txt
test_000042,LEGAL,,EMPTY_RESPONSE,,0,,271.55,length,32717,32768,32768,,artifacts/kimi_n50_findv_traces/test_000042.reasoning.txt
test_000043,ILLEGAL,derivation_break,ILLEGAL,cardinality_break,1,0,130.8,stop,32751,14378,14361,artifacts/kimi_n50_findv_traces/test_000043.content.txt,artifacts/kimi_n50_findv_traces/test_000043.reasoning.txt
test_000044,LEGAL,,ILLEGAL,transition_break,0,,171.09,stop,33136,16002,15986,artifacts/kimi_n50_findv_traces/test_000044.content.txt,artifacts/kimi_n50_findv_traces/test_000044.reasoning.txt
test_000045,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,33.67,stop,33137,2911,2895,artifacts/kimi_n50_findv_traces/test_000045.content.txt,artifacts/kimi_n50_findv_traces/test_000045.reasoning.txt
test_000046,LEGAL,,ILLEGAL,transition_break,0,,356.85,stop,29016,27978,27962,artifacts/kimi_n50_findv_traces/test_000046.content.txt,artifacts/kimi_n50_findv_traces/test_000046.reasoning.txt
test_000047,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,212.93,stop,29016,16166,16149,artifacts/kimi_n50_findv_traces/test_000047.content.txt,artifacts/kimi_n50_findv_traces/test_000047.reasoning.txt
test_000048,LEGAL,,EMPTY_RESPONSE,,0,,283.88,length,32786,32768,32770,,artifacts/kimi_n50_findv_traces/test_000048.reasoning.txt
test_000049,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,162.32,stop,32786,11067,11050,artifacts/kimi_n50_findv_traces/test_000049.content.txt,artifacts/kimi_n50_findv_traces/test_000049.reasoning.txt
test_000050,LEGAL,,EMPTY_RESPONSE,,0,,326.15,length,30028,32768,32770,,artifacts/kimi_n50_findv_traces/test_000050.reasoning.txt
test_000051,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,99.96,stop,30026,6818,6801,artifacts/kimi_n50_findv_traces/test_000051.content.txt,artifacts/kimi_n50_findv_traces/test_000051.reasoning.txt
test_000052,LEGAL,,ILLEGAL,transition_break,0,,242.58,stop,30275,27413,27397,artifacts/kimi_n50_findv_traces/test_000052.content.txt,artifacts/kimi_n50_findv_traces/test_000052.reasoning.txt
test_000053,ILLEGAL,cardinality_break,API_ERROR,,0,0,2.47,,0,0,0,artifacts/kimi_n50_findv_traces/test_000053.content.txt,
test_000054,LEGAL,,ILLEGAL,transition_break,0,,229.24,stop,32299,22598,22582,artifacts/kimi_n50_findv_traces/test_000054.content.txt,artifacts/kimi_n50_findv_traces/test_000054.reasoning.txt
test_000055,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,303.05,length,32334,32768,32769,,artifacts/kimi_n50_findv_traces/test_000055.reasoning.txt
test_000056,LEGAL,,EMPTY_RESPONSE,,0,,380.09,length,36011,32768,32768,,artifacts/kimi_n50_findv_traces/test_000056.reasoning.txt
test_000057,ILLEGAL,derivation_break,API_ERROR,,0,0,600.35,,0,0,0,artifacts/kimi_n50_findv_traces/test_000057.content.txt,
test_000058,LEGAL,,EMPTY_RESPONSE,,0,,203.68,length,29378,32768,32769,,artifacts/kimi_n50_findv_traces/test_000058.reasoning.txt
test_000059,ILLEGAL,transition_break,EMPTY_RESPONSE,,0,0,426.71,length,29378,32768,32770,,artifacts/kimi_n50_findv_traces/test_000059.reasoning.txt
test_000060,LEGAL,,EMPTY_RESPONSE,,0,,268.28,length,29850,32768,32768,,artifacts/kimi_n50_findv_traces/test_000060.reasoning.txt
test_000061,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,213.32,stop,29850,26813,26797,artifacts/kimi_n50_findv_traces/test_000061.content.txt,artifacts/kimi_n50_findv_traces/test_000061.reasoning.txt
test_000062,LEGAL,,EMPTY_RESPONSE,,0,,346.46,length,35544,32768,32768,,artifacts/kimi_n50_findv_traces/test_000062.reasoning.txt
test_000063,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,195.35,stop,35544,15559,15543,artifacts/kimi_n50_findv_traces/test_000063.content.txt,artifacts/kimi_n50_findv_traces/test_000063.reasoning.txt
test_000064,LEGAL,,ILLEGAL,transition_break,0,,236.82,stop,32772,27339,27323,artifacts/kimi_n50_findv_traces/test_000064.content.txt,artifacts/kimi_n50_findv_traces/test_000064.reasoning.txt
test_000065,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,305.23,stop,32806,30056,30039,artifacts/kimi_n50_findv_traces/test_000065.content.txt,artifacts/kimi_n50_findv_traces/test_000065.reasoning.txt
test_000066,LEGAL,,ILLEGAL,derivation_break,0,,217.97,stop,26661,32559,32542,artifacts/kimi_n50_findv_traces/test_000066.content.txt,artifacts/kimi_n50_findv_traces/test_000066.reasoning.txt
test_000067,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,42.11,stop,26661,625,609,artifacts/kimi_n50_findv_traces/test_000067.content.txt,artifacts/kimi_n50_findv_traces/test_000067.reasoning.txt
test_000068,LEGAL,,ILLEGAL,transition_break,0,,161.85,stop,34496,7900,7884,artifacts/kimi_n50_findv_traces/test_000068.content.txt,artifacts/kimi_n50_findv_traces/test_000068.reasoning.txt
test_000069,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,205.21,stop,34497,27089,27072,artifacts/kimi_n50_findv_traces/test_000069.content.txt,artifacts/kimi_n50_findv_traces/test_000069.reasoning.txt
test_000070,LEGAL,,EMPTY_RESPONSE,,0,,163.24,length,33324,32768,32771,,artifacts/kimi_n50_findv_traces/test_000070.reasoning.txt
test_000071,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,95.05,stop,33324,11360,11347,artifacts/kimi_n50_findv_traces/test_000071.content.txt,artifacts/kimi_n50_findv_traces/test_000071.reasoning.txt
test_000072,LEGAL,,ILLEGAL,transition_break,0,,276.89,stop,31109,26873,26857,artifacts/kimi_n50_findv_traces/test_000072.content.txt,artifacts/kimi_n50_findv_traces/test_000072.reasoning.txt
test_000073,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,253.27,length,31139,32768,32768,,artifacts/kimi_n50_findv_traces/test_000073.reasoning.txt
test_000074,LEGAL,,EMPTY_RESPONSE,,0,,398.19,length,29011,32768,32769,,artifacts/kimi_n50_findv_traces/test_000074.reasoning.txt
test_000075,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,20.3,stop,29011,1357,1341,artifacts/kimi_n50_findv_traces/test_000075.content.txt,artifacts/kimi_n50_findv_traces/test_000075.reasoning.txt
test_000076,LEGAL,,ILLEGAL,transition_break,0,,417.79,stop,33922,24966,24950,artifacts/kimi_n50_findv_traces/test_000076.content.txt,artifacts/kimi_n50_findv_traces/test_000076.reasoning.txt
test_000077,ILLEGAL,derivation_break,ILLEGAL,cardinality_break,1,0,171.06,stop,33954,10886,10869,artifacts/kimi_n50_findv_traces/test_000077.content.txt,artifacts/kimi_n50_findv_traces/test_000077.reasoning.txt
test_000078,LEGAL,,ILLEGAL,transition_break,0,,406.41,stop,29735,23317,23304,artifacts/kimi_n50_findv_traces/test_000078.content.txt,artifacts/kimi_n50_findv_traces/test_000078.reasoning.txt
test_000079,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,11.24,stop,29735,684,668,artifacts/kimi_n50_findv_traces/test_000079.content.txt,artifacts/kimi_n50_findv_traces/test_000079.reasoning.txt
test_000080,LEGAL,,EMPTY_RESPONSE,,0,,355.28,length,32480,32768,32769,,artifacts/kimi_n50_findv_traces/test_000080.reasoning.txt
test_000081,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,437.78,length,32512,32768,32771,,artifacts/kimi_n50_findv_traces/test_000081.reasoning.txt
test_000082,LEGAL,,ILLEGAL,transition_break,0,,214.81,stop,32572,19101,19085,artifacts/kimi_n50_findv_traces/test_000082.content.txt,artifacts/kimi_n50_findv_traces/test_000082.reasoning.txt
test_000083,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,346.01,length,32610,32768,32769,,artifacts/kimi_n50_findv_traces/test_000083.reasoning.txt
test_000084,LEGAL,,EMPTY_RESPONSE,,0,,375.52,length,34251,32768,32768,,artifacts/kimi_n50_findv_traces/test_000084.reasoning.txt
test_000085,ILLEGAL,cardinality_break,EMPTY_RESPONSE,,0,0,226.34,length,34251,32768,32771,,artifacts/kimi_n50_findv_traces/test_000085.reasoning.txt
test_000086,LEGAL,,ILLEGAL,transition_break,0,,176.98,stop,34701,22996,22980,artifacts/kimi_n50_findv_traces/test_000086.content.txt,artifacts/kimi_n50_findv_traces/test_000086.reasoning.txt
test_000087,ILLEGAL,derivation_break,ILLEGAL,cardinality_break,1,0,115.93,stop,34735,7443,7426,artifacts/kimi_n50_findv_traces/test_000087.content.txt,artifacts/kimi_n50_findv_traces/test_000087.reasoning.txt
test_000088,LEGAL,,ILLEGAL,derivation_break,0,,283.79,stop,32030,28391,28374,artifacts/kimi_n50_findv_traces/test_000088.content.txt,artifacts/kimi_n50_findv_traces/test_000088.reasoning.txt
test_000089,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,34.17,stop,32030,2341,2328,artifacts/kimi_n50_findv_traces/test_000089.content.txt,artifacts/kimi_n50_findv_traces/test_000089.reasoning.txt
test_000090,LEGAL,,EMPTY_RESPONSE,,0,,348.46,length,28846,32768,32770,,artifacts/kimi_n50_findv_traces/test_000090.reasoning.txt
test_000091,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,74.72,stop,28845,10174,10157,artifacts/kimi_n50_findv_traces/test_000091.content.txt,artifacts/kimi_n50_findv_traces/test_000091.reasoning.txt
test_000092,LEGAL,,ILLEGAL,transition_break,0,,120.84,stop,28410,11986,11970,artifacts/kimi_n50_findv_traces/test_000092.content.txt,artifacts/kimi_n50_findv_traces/test_000092.reasoning.txt
test_000093,ILLEGAL,cardinality_break,API_ERROR,,0,0,600.18,,0,0,0,artifacts/kimi_n50_findv_traces/test_000093.content.txt,
test_000094,LEGAL,,EMPTY_RESPONSE,,0,,439.17,length,27552,32768,32770,,artifacts/kimi_n50_findv_traces/test_000094.reasoning.txt
test_000095,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,381.73,length,27581,32768,32771,,artifacts/kimi_n50_findv_traces/test_000095.reasoning.txt
test_000096,LEGAL,,EMPTY_RESPONSE,,0,,512.5,length,31334,32768,32768,,artifacts/kimi_n50_findv_traces/test_000096.reasoning.txt
test_000097,ILLEGAL,transition_break,EMPTY_RESPONSE,,0,0,381.82,length,31334,32768,32771,,artifacts/kimi_n50_findv_traces/test_000097.reasoning.txt
test_000098,LEGAL,,EMPTY_RESPONSE,,0,,303.56,length,27728,32768,32770,,artifacts/kimi_n50_findv_traces/test_000098.reasoning.txt
test_000099,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,21.77,stop,27729,1834,1818,artifacts/kimi_n50_findv_traces/test_000099.content.txt,artifacts/kimi_n50_findv_traces/test_000099.reasoning.txt
